bucket,N,S,period
2025-05-12,82,0.5242360594831867,post
2025-05-13,37,0.525457395447625,post
2025-05-14,188,0.5252313256901215,post
2025-05-15,30,0.514567153207187,post
2025-05-16,37,0.588351782825258,post
2025-05-17,27,0.5517768149192517,post
2025-05-18,28,0.4732013631750036,post
2025-05-19,102,0.6286357688431693,post
2025-05-20,36,0.48427386283874513,post
2025-05-21,99,0.585015709911074,post
2025-05-22,125,0.48591417482783716,post
2025-05-23,36,0.43437269755772184,post
2025-05-24,11,0.45065545439720156,post
2025-05-25,26,0.42478434801101683,post
2025-05-26,84,0.5242724734616567,post
2025-05-27,20,0.4901113133681448,post
2025-05-28,42,0.46156349705486766,post
2025-05-29,157,0.5462278930040506,post
2025-05-30,34,0.5272995919892283,post
2025-05-31,14,0.43121644166799694,post
2025-06-01,17,0.443052738904953,post
2025-06-02,83,0.48646718118248916,post
2025-06-03,4,0.49895866711934406,post
2025-06-04,66,0.47650670271653395,post
2025-06-05,72,0.5263855356565663,post
2025-06-06,7,0.3950800995031993,post
2025-06-07,6,0.7330893039703369,post
2025-06-08,11,0.5396054089069366,post
2025-06-09,11,0.42322524189949035,post
2025-06-10,48,0.4611658339804791,post
2025-06-11,95,0.5086902126352838,post
2025-06-12,186,0.5441776385178437,post
2025-06-13,170,0.562022400325572,post
2025-06-14,20,0.45307298710471705,post
2025-06-15,33,0.45640839729458094,post
2025-06-16,82,0.4730585018793742,post
2025-06-17,39,0.46295951149965586,post
2025-06-18,134,0.537251379256858,post
2025-06-19,128,0.4117919741653082,post
2025-06-20,187,0.6339767709855111,post
2025-06-21,19,0.4478643188873927,post
2025-06-22,12,0.47099776701493695,post
2025-06-23,25,0.4111497886478901,post
2025-06-24,78,0.521246776952372,post
2025-06-25,71,0.48685037195682523,post
2025-06-26,12,0.423367977142334,post
2025-06-27,15,0.44858118891716003,post
2025-06-28,9,0.5697971433401108,post
2025-06-29,18,0.4989672688876881,post
2025-06-30,9,0.4262581914663315,post
2025-07-01,52,0.6812854607899984,post
2025-07-02,27,0.5106251881672785,post
2025-07-03,17,0.5179626159369946,post
2025-07-04,12,0.4427090449766679,post
2025-07-05,9,0.5531168878078461,post
2025-07-06,4,0.7489110628763834,post
2025-07-07,8,0.46416214534214567,post
2025-07-08,96,0.5602983575118216,post
2025-07-09,52,0.4706200665118648,post
2025-07-10,13,0.41343966623147327,post
2025-07-11,38,0.6254661792033428,post
2025-07-12,10,0.45471372869279647,post
2025-07-13,10,0.4452246030171712,post
2025-07-14,98,0.6333477239018863,post
2025-07-15,46,0.5235409047868517,post
2025-07-16,42,0.4864996933355564,post
2025-07-17,47,0.5545812495376753,post
2025-07-18,98,0.581898731054719,post
2025-07-19,9,0.5574765503406525,post
2025-07-20,14,0.4476398046200092,post
2025-07-21,22,0.5242764268602643,post
2025-07-22,19,0.5569812920358446,post
2025-07-23,32,0.5979006982618763,post
2025-07-24,51,0.602544367313385,post
2025-07-25,7,0.367657075325648,post
2025-07-26,18,0.4971327641431023,post
2025-07-27,10,0.44855670134226483,post
2025-07-28,34,0.5707091996164033,post
2025-07-29,27,0.5987728925851675,post
2025-07-30,104,0.5339795270012421,post
2025-07-31,41,0.589213490486145,post
2025-08-01,14,0.4704298789684589,post
2025-08-02,19,0.48472917079925537,post
2025-08-03,11,0.48264145851135254,post
2025-08-04,21,0.5518887758255004,post
2025-08-05,105,0.5970557544093865,post
2025-08-06,40,0.5342868413680639,post
2025-08-07,23,0.4200055247003382,post
2025-08-08,7,0.4360174238681793,post
2025-08-09,7,0.633617490530014,post
2025-08-10,6,0.5987594127655029,post
2025-08-11,56,0.514706819707697,post
2025-08-12,44,0.49980439141739247,post
2025-08-13,281,0.5626108950802258,post
2025-08-14,130,0.4939057378805885,post
2025-08-15,11,0.4333936035633087,post
2025-08-16,8,0.48630074092320036,post
2025-08-17,37,0.46072060366471607,post
2025-08-18,21,0.43402217626571654,post
2025-08-19,73,0.48934327852394843,post
2025-08-20,52,0.5193360553068274,post
2025-08-21,138,0.476394874771146,post
2025-08-22,70,0.46058829193529877,post
2025-08-23,14,0.42529129065000093,post
2025-08-24,11,0.5754037618637085,post
2025-08-25,45,0.5890530266545035,post
2025-08-26,13,0.38288675993680954,post
2025-08-27,93,0.522722425668136,post
2025-08-28,60,0.4441360942387985,post
2025-08-29,38,0.6109144397684045,post
2025-08-30,6,0.5550364017486572,post
2025-08-31,103,0.5694248384120417,post
2025-09-01,77,0.48005982370753036,post
2025-09-02,12,0.42271163246848364,post
2025-09-03,124,0.5717756263608855,post
2025-09-04,60,0.4888715824838412,post
