method,metric,pre,post,p
① bge-m3·제목본문,mean,0.6668936379494206,0.7709086632728577,2.2866096456549202e-07
① bge-m3·제목본문,rel90,6.5663819527852,19.388917850495247,7.29474306601338e-08
① bge-m3·제목본문,매체수(배수),76.2258064516129,219.0,2.2458408730736172e-61
② bge-m3·명사,mean,0.6333876848220825,0.7449199962615967,7.29474306601338e-08
② bge-m3·명사,rel90,3.4799442524599216,13.147997204694326,1.041195155196732e-07
② bge-m3·명사,매체수(배수),76.19354838709677,218.96,1.8316618077680636e-61
③ 3large·제목본문,mean,0.5960447461374344,0.7127518844604492,2.2866096456549202e-07
③ 3large·제목본문,rel90,2.583347595271914,9.879547758566359,8.721744211766952e-08
③ 3large·제목본문,매체수(배수),76.19354838709677,218.96,1.8316618077680636e-61
④ 3large·명사,mean,0.5601237560472181,0.690634753704071,4.6454076501870215e-08
④ 3large·명사,rel90,1.184520924365458,7.069125155151576,9.532974347849765e-08
④ 3large·명사,매체수(배수),76.19354838709677,218.96,1.8316618077680636e-61
