method,win,unit,mid,count,mean,abs90,abs95,abs99,rel90,rel95,rel99
① bge-m3·제목본문,1,기사,2023-01-20 12:00:00,3,0.8840253353118896,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-20 12:00:00,3,0.8840252757072449,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-20 12:00:00,3,0.8840252757072449,1,0,0,33.33333333333333,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-21 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-22 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-22 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-22 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-24 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-24 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-24 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-25 12:00:00,3,0.561244010925293,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-25 12:00:00,3,0.561244010925293,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-25 12:00:00,3,0.561244010925293,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-01-27 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-01-27 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-01-27 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-01-30 12:00:00,4,0.6359897255897522,1,1,0,16.666666666666664,16.666666666666664,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-30 12:00:00,4,0.635989785194397,1,1,0,16.666666666666664,16.666666666666664,0.0
① bge-m3·제목본문,1,매체,2023-01-30 12:00:00,4,0.635989785194397,1,1,0,16.666666666666664,16.666666666666664,0.0
① bge-m3·제목본문,1,기사,2023-01-31 12:00:00,2,0.45325347781181335,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-01-31 12:00:00,2,0.45325347781181335,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-01-31 12:00:00,2,0.45325347781181335,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-01 12:00:00,6,0.7387737035751343,5,3,0,33.33333333333333,20.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-01 12:00:00,6,0.7387737035751343,5,3,0,33.33333333333333,20.0,0.0
① bge-m3·제목본문,1,매체,2023-02-01 12:00:00,6,0.7387737035751343,5,3,0,33.33333333333333,20.0,0.0
① bge-m3·제목본문,1,기사,2023-02-02 12:00:00,28,0.7211419939994812,84,38,0,22.22222222222222,10.052910052910052,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-02 12:00:00,25,0.7330764532089233,63,32,0,21.0,10.666666666666668,0.0
① bge-m3·제목본문,1,매체,2023-02-02 12:00:00,22,0.7562841773033142,44,19,0,19.047619047619047,8.225108225108226,0.0
① bge-m3·제목본문,1,기사,2023-02-03 12:00:00,14,0.5746713280677795,5,1,0,5.4945054945054945,1.098901098901099,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-03 12:00:00,14,0.5746713280677795,5,1,0,5.4945054945054945,1.098901098901099,0.0
① bge-m3·제목본문,1,매체,2023-02-03 12:00:00,13,0.5794583559036255,5,1,0,6.41025641025641,1.282051282051282,0.0
① bge-m3·제목본문,1,기사,2023-02-04 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-02-04 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-02-04 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-02-05 12:00:00,2,0.7950389385223389,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-05 12:00:00,2,0.7950388193130493,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-05 12:00:00,2,0.7950388193130493,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-06 12:00:00,25,0.726889967918396,9,0,0,3.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-06 12:00:00,24,0.7234158515930176,12,0,0,4.3478260869565215,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-06 12:00:00,23,0.7216579914093018,12,0,0,4.743083003952568,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-07 12:00:00,7,0.6230994462966919,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-07 12:00:00,7,0.6230995059013367,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-07 12:00:00,7,0.6230995059013367,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-08 12:00:00,7,0.6464686989784241,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-08 12:00:00,7,0.6464686393737793,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-08 12:00:00,6,0.6598106026649475,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-10 12:00:00,2,0.5733686685562134,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-10 12:00:00,2,0.5733686685562134,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-10 12:00:00,2,0.5733686685562134,0,0,0,0.0,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-11 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-02-11 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,매체,2023-02-11 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기사,2023-02-13 12:00:00,19,0.7660855054855347,78,21,0,45.614035087719294,12.280701754385964,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-13 12:00:00,18,0.7846183180809021,65,19,0,42.48366013071895,12.418300653594772,0.0
① bge-m3·제목본문,1,매체,2023-02-13 12:00:00,18,0.7846183180809021,65,19,0,42.48366013071895,12.418300653594772,0.0
① bge-m3·제목본문,1,기사,2023-02-14 12:00:00,4,0.5581850409507751,1,0,0,16.666666666666664,0.0,0.0
① bge-m3·제목본문,1,기자-매체,2023-02-14 12:00:00,4,0.5581851005554199,1,0,0,16.666666666666664,0.0,0.0
① bge-m3·제목본문,1,매체,2023-02-14 12:00:00,4,0.5581851005554199,1,0,0,16.666666666666664,0.0,0.0
① bge-m3·제목본문,1,기사,2023-02-15 12:00:00,1,,0,0,0,,,
① bge-m3·제목본문,1,기자-매체,2023-02-15 12:00:00,1,,0,0,0,,,
